# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)	Dind.region100 (J/m2)
1.1566500910666369e-07	-1.0737936e-08	-2.5722514e-08	0.89486074	804412.5	0.003207648
1.1567002261634547e-07	2.6147177e-08	-1.1647931e-08	0.9010266	804729.3	0.003205295
1.1567501025691663e-07	1.4104916e-08	2.135454e-08	0.90723914	804970.06	0.0032029226
1.1568002332096891e-07	-1.6455735e-08	1.1647931e-08	0.91282856	805133.44	0.0032005059
1.156850104731815e-07	-1.6561902e-08	-1.2133261e-08	0.9168466	805215.1	0.00319807
1.1569002296895632e-07	1.0874436e-08	-1.8442556e-08	0.9189979	805214.9	0.0031955896
1.1569501009703497e-07	1.7123064e-08	9.221278e-09	0.91912997	805132.56	0.0031930914
1.1570002314075067e-07	-8.720781e-09	1.6986565e-08	0.9171162	804968.75	0.0031905498
1.1570501080745655e-07	-1.7289898e-08	-9.221278e-09	0.91345763	804727.3	0.003187991
1.1571002443216012e-07	4.9139706e-09	-1.5530574e-08	0.908838	804410.2	0.0031853886
1.157150126081205e-07	1.4499247e-08	-9.706609e-10	0.9038768	804025.06	0.0031827714
1.1572000040286447e-07	6.005964e-09	1.4559913e-08	0.89927775	803576.8	0.0031801248
1.1572501345289788e-07	-1.0889602e-08	1.0191939e-08	0.8958264	803069.94	0.0031774365
1.1573000085135886e-07	-1.8730722e-08	-8.735948e-09	0.8939174	802517.3	0.0031747338
1.1573501382595279e-07	1.0434604e-08	-2.3295861e-08	0.8936867	801921.8	0.0031719897
1.1574000138113471e-07	2.165787e-08	1.2133261e-08	0.8953359	801299.3	0.0031692325
1.1574501497591853e-07	-1.26185915e-08	1.9413218e-08	0.89857596	800652.9	0.0031664341
1.1575000000000107e-07	-1.5894573e-08	-1.2133261e-08	0.90282553	800000	0.0031636253
1.1575501565435809e-07	9.979607e-09	-1.7471896e-08	0.9077214	800208.3	0.0031607738
1.1576000361164572e-07	1.7168563e-08	6.794626e-09	0.91261196	800412.2	0.003157912
1.1576501684336905e-07	-5.5206337e-09	1.26185915e-08	0.9167575	800610.5	0.0031550115
1.1577000399738816e-07	-7.765287e-09	-4.367974e-09	0.9197086	800798.25	0.0031521008
1.157750167422263e-07	1.3498253e-09	-8.250617e-09	0.9212612	800974.3	0.0031491516
1.157800041110288e-07	6.787043e-09	-2.4266522e-09	0.92112213	801134.2	0.0031461937
1.1578501734100156e-07	5.217302e-09	5.8239653e-09	0.91944873	801276.9	0.0031431974
1.1579000546184825e-07	-6.4609615e-09	4.8533044e-09	0.91677785	801398.9	0.0031401932
1.1579501933701132e-07	-4.7319717e-09	-8.735948e-09	0.9134781	801499.4	0.0031371512
1.1580000749606582e-07	8.220284e-09	-6.794626e-09	0.9101314	801575.75	0.003134104
1.1580502095881282e-07	8.842114e-09	7.2799566e-09	0.9074518	801627.56	0.0031310197
1.158100086369019e-07	-6.946292e-09	7.2799566e-09	0.9058625	801653.3	0.0031279305
