# t (s)	mx ()	my ()	mz ()	Ku1.region100 (J/m3)
1.1057250857154554e-07	-4.745593e-10	1.8223076e-08	0.82724446	917169.94
1.10575013420208e-07	-1.8887459e-08	1.0630128e-08	0.822816	915043.56
1.1057751884144813e-07	-1.84129e-08	-6.074359e-09	0.8206673	912460.75
1.1058002459880058e-07	5.220152e-10	-1.2148718e-08	0.8208834	909431.6
1.1058250484978159e-07	6.359094e-09	-1.2148718e-08	0.8233073	906006.1
1.1058501022993716e-07	7.7768405e-09	-3.0371794e-09	0.8277016	902127.7
1.1058751543500021e-07	4.413401e-09	3.0371794e-09	0.83369493	897845
1.1059002069498137e-07	-1.7558693e-09	4.555769e-09	0.8408775	893174.44
1.1059250062727686e-07	2.4202522e-09	-3.0371794e-09	0.84866333	888187.3
1.1059500658833826e-07	6.8336536e-09	4.555769e-09	0.85673535	882800
1.1059751305053448e-07	-1.8745092e-09	1.5185897e-08	0.86454356	877083.2
1.1060001955757754e-07	-1.6609574e-08	9.111538e-09	0.8715028	871060.5
1.1060250022464905e-07	-1.6852786e-08	-9.111538e-09	0.87700135	864822.2
1.1060500603503398e-07	2.4677083e-09	-1.9741666e-08	0.88073575	858265.2
1.106075116081793e-07	1.9741666e-08	-1.0630128e-08	0.8823615	851477.6
1.1061001704715675e-07	2.1829727e-08	6.074359e-09	0.88161033	844486.5
1.1061252256489386e-07	9.016627e-09	2.1260256e-08	0.8782634	837318.75
1.1061500296730788e-07	-1.0819951e-08	2.7334615e-08	0.8723122	830077.1
1.1061750936345911e-07	-1.7273958e-08	6.074359e-09	0.86362463	822640.8
1.1062001635081934e-07	-1.2148718e-08	-1.5185897e-08	0.85231555	815113.06
1.106225232793377e-07	3.4168268e-09	-1.9741666e-08	0.83855355	807525.56
1.1062500444551241e-07	9.870833e-09	-3.0371794e-09	0.8227814	799986.56
1.1062751088226408e-07	9.870833e-09	3.0371794e-09	0.80494195	792370.7
1.1063001727739712e-07	3.7964742e-09	1.2148718e-08	0.78541166	784785.44
1.1063252343847278e-07	-1.8982371e-09	1.2148718e-08	0.764498	777261.1
1.1063500466643082e-07	-1.5185897e-09	0	0.74280804	769900.44
1.1063751179678707e-07	5.315064e-09	0	0.72029126	762581.9
1.1064001934850635e-07	-1.1389423e-09	2.1260256e-08	0.69753367	755410.56
1.1064250126807033e-07	-1.5945192e-08	2.4297435e-08	0.67515546	748486.9
1.1064500903000327e-07	-2.4297435e-08	1.5185897e-08	0.653076	741694.7
1.1064751739492582e-07	-2.657532e-08	1.2148718e-08	0.6318524	735132.56
1.1065000030488958e-07	-2.8473556e-08	-1.8223076e-08	0.6120374	728890.7
1.106525091429826e-07	-1.6324838e-08	-3.0371794e-08	0.5936326	722864.8
1.1065501849783395e-07	-3.0371794e-09	-1.8223076e-08	0.5772164	717144.44
1.1065750280596678e-07	-1.8982371e-09	-6.074359e-09	0.5631689	711805.56
1.1066001274152928e-07	0	-6.074359e-09	0.5514088	706760.8
1.1066252311211267e-07	1.5185897e-09	-6.074359e-09	0.54228294	702086.1
1.106650080493309e-07	1.8982371e-10	-1.5185897e-08	0.53593963	697842.4
1.1066751887056271e-07	6.8336536e-09	-3.0371794e-09	0.5322854	693959.2
1.1067000426931858e-07	6.454006e-09	1.8223076e-08	0.5314306	690531
1.1067251558121895e-07	-4.2710333e-09	2.1260256e-08	0.53330547	687500.8
1.106750014936438e-07	-1.9741666e-08	1.8223076e-08	0.53766567	684942.5
1.1067751301783354e-07	-2.6195671e-08	1.2148718e-08	0.54433066	682813.7
1.1068002465083192e-07	-3.2708996e-08	6.074359e-09	0.5530181	681151.6
1.1068251071251208e-07	-2.6717688e-08	-1.5185897e-08	0.5633199	679972.6
1.106850221427933e-07	-2.1260256e-08	-1.5185897e-08	0.5750985	679257.25
1.1068750779471503e-07	-1.4663882e-08	-6.074359e-09	0.5877779	679022.8
1.1069001916007776e-07	-1.2813101e-08	-6.074359e-09	0.6012752	679265.2
1.1069250480541618e-07	-6.359094e-09	-1.2148718e-08	0.61492103	679978.6
1.1069501621125716e-07	-1.2338541e-09	-1.2148718e-08	0.628597	681174.9
1.106975017009491e-07	8.731891e-09	-1.8223076e-08	0.6417098	682824.8
1.1070001249038375e-07	2.5341466e-08	-1.5185897e-08	0.65427625	684955.6
1.1070252319774949e-07	2.5626202e-08	1.5185897e-08	0.6659108	687544.2
1.1070500818172684e-07	9.3013615e-09	3.3408973e-08	0.676297	690547.1
1.1070751873929908e-07	-1.2504636e-08	3.0371794e-08	0.68549234	694014.4
1.1071000330127137e-07	-2.9410812e-08	2.7334615e-08	0.6931877	697860.94
1.1071251326652981e-07	-3.3978445e-08	6.074359e-09	0.6994484	702151.1
1.1071502294653449e-07	-2.3727964e-08	-6.074359e-09	0.7041715	706829.94
1.1071750682146863e-07	-8.921714e-09	-9.111538e-09	0.7074124	711825.7
1.1072001607706436e-07	-8.542067e-10	-1.8223076e-08	0.70935124	717221.1
1.1072252524737179e-07	-1.328766e-09	-6.074359e-09	0.7100682	722945.4
1.1072500857503306e-07	2.5626201e-09	-6.074359e-09	0.7097277	728912.5
1.1072751741478811e-07	5.1252402e-09	-3.0371794e-09	0.7085244	735221.8
1.1073000057585658e-07	1.0440304e-08	-6.074359e-09	0.7067056	741720.3
1.1073250922950393e-07	1.7084133e-08	0	0.7044845	748515.75
1.1073501765465852e-07	1.2338541e-08	2.1260256e-08	0.70218587	755515.2
1.1073750054303528e-07	-6.2641825e-09	3.0371794e-08	0.7001435	762617.56
1.1074000887451599e-07	-2.5436377e-08	1.8223076e-08	0.69858015	769940.4
1.1074251723296687e-07	-3.321915e-08	6.074359e-09	0.697759	777382.6
1.1074502539358928e-07	-2.3253405e-08	-1.2148718e-08	0.69793797	784914.1
1.1074750801104463e-07	-1.2338541e-09	-3.0371794e-08	0.6993471	792428
1.1075000000000096e-07	1.7179046e-08	-1.2148718e-08	0.70219916	800000
1.1075250545603083e-07	1.7558692e-08	9.111538e-09	0.706542	797745.44
1.1075501386127143e-07	7.68786e-09	2.1260256e-08	0.71194446	795497.2
1.1075752197927503e-07	-7.462445e-09	1.2148718e-08	0.71831584	793267.06
1.1076000463102421e-07	-1.42605066e-08	3.0371794e-09	0.7256563	791085.8
1.1076251279128866e-07	-1.8270532e-09	-3.0371794e-09	0.7338316	788917.4
1.1076502114489766e-07	1.12707825e-08	6.074359e-09	0.742565	786793
1.1076750395968752e-07	3.7964742e-09	2.4297435e-08	0.75137144	784741.8
1.1077001232518595e-07	-1.3572396e-08	1.5185897e-08	0.75982606	782729.8
1.1077252059326317e-07	-2.1995822e-08	-6.074359e-09	0.76742935	780786.5
1.1077500299510446e-07	-1.5203693e-08	-1.8223076e-08	0.7741451	778938.4
1.1077751116647056e-07	3.3871668e-09	-1.8223076e-08	0.78024274	777154.4
1.1078001940385932e-07	2.0334864e-08	-6.074359e-09	0.78527534	775461.1
1.107825018197014e-07	1.6040103e-08	9.111538e-09	0.78883004	773881.06
1.1078500980050453e-07	1.2338541e-09	2.4297435e-08	0.7907572	772388.1
1.107875179011701e-07	-1.689431e-08	1.8223076e-08	0.7909111	771004.75
1.107900001536676e-07	-2.2589022e-08	-9.111538e-09	0.7893298	769749
1.1079250765916405e-07	-1.0440304e-08	-9.111538e-09	0.7861521	768599.94
1.1079501524791068e-07	1.0060656e-08	-1.5185897e-08	0.7816928	767575.6
1.107975228061198e-07	1.8223076e-08	1.2148718e-08	0.77586275	766680.1
1.1080000491213729e-07	7.213301e-09	2.7334615e-08	0.7685564	765923.75
1.108025125532076e-07	-1.6135015e-08	1.5185897e-08	0.7597399	765294.4
1.1080502032730278e-07	-1.7463782e-08	-3.0371794e-09	0.7499023	764802.9
1.108075024653462e-07	-3.7964742e-10	-1.2148718e-08	0.7395747	764453.9
1.1081000994990497e-07	1.8982371e-08	0	0.7287838	764241.75
1.1081251755195687e-07	2.353814e-08	1.2148718e-08	0.7179371	764171.7
1.1081502543667292e-07	1.5565544e-08	3.3408973e-08	0.70716304	764243.75
1.1081750802512136e-07	-9.111538e-09	4.252051e-08	0.6966041	764455
1.1082001582199779e-07	-3.1131087e-08	1.2148718e-08	0.6863515	764808.9
1.1082252365396512e-07	-3.0941266e-08	-1.2148718e-08	0.6771037	765302.5
1.1082500619020801e-07	-1.328766e-08	-9.111538e-09	0.669353	765926.9
1.1082751442160069e-07	3.7964742e-09	-3.0371794e-09	0.66294366	766692.4
1.1083002282873405e-07	1.2718188e-08	6.074359e-09	0.6579978	767590.25
1.1083250582576252e-07	5.6947114e-10	-7.5929485e-09	0.6546403	768605.9
1.1083501445672503e-07	-5.315064e-09	-6.074359e-09	0.6528704	769756.1
1.1083752307357459e-07	1.1199599e-08	-1.2148718e-08	0.6529372	771026.44
1.1084000611691428e-07	3.378862e-08	9.111538e-09	0.65508276	772397.25
1.1084251488436215e-07	3.4737738e-08	2.7334615e-08	0.6593153	773891.4
1.1084502381284601e-07	7.569221e-09	3.6446153e-08	0.66520905	775489.4
1.1084750711373015e-07	-2.6563455e-08	4.555769e-08	0.6724529	777167.06
1.108500159011161e-07	-4.346963e-08	2.4297435e-08	0.68120337	778952.2
